,Phenotype,CommonBetweenUsandGWAS,Identified,AUC,F1score,MCC,ActualSNPs,MappedGene,Location
10,Dyslexia,2,0,0,0,0,[],[],[]
11,EarlobeFreeorattached,11,0,0,0,0,[],[],[]
12,HairType,7,1,1,0,1,['rs11803731'],['TCHH'],['1:152110849']
13,Hypertension,52,13,13,13,13,"['rs1887320', 'rs2681472', 'rs17636747', 'rs11749255', 'rs222151', 'rs2493292', 'rs704', 'rs17046380', 'rs16849225', 'rs10859915', 'rs1550576', 'rs2820037', 'rs17367504']","['HIGD1AP3, MSX2', 'TGFBRAP1, GPR45', 'MTHFR', 'PRDM16', 'PRPS1P1, FIGN', 'EML6', 'FAT1P1, LINC02871', 'ATP2B1', 'ALDH1A2', ""'-"", 'VTN, SARM1', 'PGAM1P5', 'CYYR1-AS1']","['5:174642665', '2:105261413', '1:11802721', '1:3412095', '2:164050310', '2:54814185', '20:10985350', '12:89615182', '15:57921216', '1:239273242', '17:28367840', '12:95634097', '21:26398292']"
14,Hypertriglyceridemia,4,0,0,0,0,[],[],[]
15,IrritableBowelSyndrome,2,0,0,0,0,[],[],[]
16,MentalDisease,180,36,1,36,1,"['rs10496702', 'rs10148671', 'rs3749971', 'rs220677', 'rs149990', 'rs10503253', 'rs6046396', 'rs17183814', 'rs2310173', 'rs17750015', 'rs1532278', 'rs11007350', 'rs7941534', 'rs707939', 'rs728115', 'rs2584363', 'rs237238', 'rs1925191', 'rs1014137', 'rs10799590', 'rs4238213', 'rs10760332', 'rs1550976', 'rs7746199', 'rs10954428', 'rs245914', 'rs220673', 'rs4293630', 'rs704061', 'rs297941', 'rs7565792', 'rs4141983', 'rs2514218', 'rs4770403', 'rs2184898', 'rs4332358']","['DRD2, TMPRSS5', 'CSMD1', 'IL1R1, IL1R2', 'PPP1R21-DT, FOXN2', 'ZSCAN16-AS1', 'NTM', 'KCND2', 'LINC01517', 'CHN2, CPVL', 'SCN2A', 'POC1B, DUSP6', 'MSH5, MSH5-SAPCD1', 'POM121L2', 'LINC02326', 'LINC02674', 'OR5V1, OR12D3', 'EXOC4', 'ITPRID1', 'SPTLC1P2', 'CLU', 'NGF-AS1, NGF', 'NCKAP5', 'RIN2', 'LINC02151', 'LINC02395', 'CNIH3', 'HIP1', 'COL6A1, PSMA6P3', 'SGCG', 'WDR7', 'ADGRF5', 'LHX2, NEK6', 'ADGRF5', 'ACTL8', 'ANK1, HMGB1P46', 'FARP1']","['11:113522272', '8:4323322', '2:102047167', '2:48422566', '6:28030480', '11:131450176', '7:120665095', '10:29000102', '7:29178543', '2:165295879', '12:89378126', '6:31758911', '6:27293545', '14:29000167', '10:117658593', '6:29374998', '7:133703303', '7:31584132', '6:23835115', '8:27608798', '1:115333024', '2:133247997', '20:19871859', '11:116529665', '12:49925303', '1:224634780', '7:75582098', '21:46025877', '13:23180988', '18:56730391', '6:46872709', '9:124212743', '6:46874069', '1:17795514', '8:107146155', '13:98217088']"
17,Migraine,25,0,0,0,0,[],[],[]
18,Motionsickness,3,0,0,0,0,[],[],[]
19,PanicDisorder,2,0,0,0,0,[],[],
20,PhoticSneezeReflexPhotoptarmis,4,0,0,0,0,[],[],[]
21,PosttraumaticStressDisorderorPTSD,5,0,0,0,0,[],[],[]
22,Scoliosis,29,0,0,0,0,[],[],[]
23,SensitivitytoMosquitoBites,3,0,0,0,0,[],[],[]
24,SleepDisorders,93,1,0,0,1,['rs13404343'],"['MIR4431, ASB3']",['2:53494444']
25,Strabismus,1,0,0,0,0,[],[],[]
26,ThyroidIssuesCancer,8,0,0,0,0,[],[],[]
27,TypeIIDiabetes,193,1,1,0,0,['rs1387153'],"['SNRPGP16, MTNR1B']",['11:92940662']
28,eczema,15,3,0,3,0,"['rs763342', 'rs20541', 'rs10993994']","['IL13, TH2LCRR', 'MSMB', 'LINC01991, BCL6']","['5:132660272', '10:46046326', '3:187921587']"
29,restlesslegsyndrome,6,2,2,2,2,"['rs3923809', 'rs9357271']","['BTBD9', 'BTBD9']","['6:38473194', '6:38398097']"
